"Piece","Label.SD","SD","Clave_.","Section","Clave","Bass","Guitar","Tres","Bongo","Bell","Cajon","Conga","Trumpet","Cl_Dens","Bs_Dens","Gt_Dens","Tr_Dens","Bn_Dens","Bl_Dens","Cj_Dens","Cn_Dens","Tm_Dens","CycleTime","Cycle","Isochronous.SD.Time"
"Song_2","1:1",1,"1","Son",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.037333333,1,5.037333333
"Song_2","1:2",2,"N","Son",NA,NA,5.281932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5.2600624996875
"Song_2","1:3",3,"N","Son",NA,NA,5.480643,NA,5.477695,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,5.482791666375
"Song_2","1:4",4,"2","Son",NA,5.714555,5.707537,5.730943,5.718635,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,5.7055208330625
"Song_2","1:5",5,"N","Son",NA,5.927078,5.939071,5.917083,5.926234,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,1,5.92824999975
"Song_2","1:6",6,"N","Son",NA,NA,6.153243,6.144901,6.155149,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,1,6.1509791664375
"Song_2","1:7",7,"3","Son",NA,6.348096,6.354059,NA,6.354287,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,6.373708333125
"Song_2","1:8",8,"N","Son",NA,NA,6.605737,6.587124,6.591264,NA,NA,NA,NA,NA,NA,3.5,2,3,NA,NA,NA,NA,NA,1,6.5964374998125
"Song_2","1:9",9,"N","Son",NA,NA,6.839689,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,6.8191666665
"Song_2","1:10",10,"N","Son",NA,NA,7.030598,7.019113,7.049004,NA,NA,NA,NA,NA,NA,4.5,2.5,3.5,NA,NA,NA,NA,NA,1,7.0418958331875
"Song_2","1:11",11,"4","Son",7.28634,NA,7.247185,NA,7.266582,NA,NA,NA,NA,NA,NA,5,NA,4,NA,NA,NA,NA,NA,1,7.264624999875
"Song_2","1:12",12,"N","Son",NA,NA,7.486118,7.509693,7.474943,NA,NA,NA,NA,NA,NA,4.5,3,4.5,NA,NA,NA,NA,NA,1,7.4873541665625
"Song_2","1:13",13,"5","Son",7.72558,7.688646,7.711805,7.724421,NA,NA,NA,NA,NA,NA,3.5,4.5,3.5,NA,NA,NA,NA,NA,NA,1,7.71008333325
"Song_2","1:14",14,"N","Son",NA,NA,7.93741,7.958183,7.937723,NA,NA,NA,NA,NA,NA,5,3,3.5,NA,NA,NA,NA,NA,1,7.9328124999375
"Song_2","1:15",15,"N","Son",NA,8.144071,8.131612,NA,NA,NA,NA,NA,NA,NA,2.5,5,NA,NA,NA,NA,NA,NA,NA,1,8.155541666625
"Song_2","1:16",16,"N","Son",NA,NA,NA,NA,8.372463,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,8.3782708333125
"Song_2","2:1",1,"1","Son",8.607607,NA,8.599172,8.571167,NA,NA,NA,NA,NA,1.5,NA,4.5,3.5,NA,NA,NA,NA,NA,8.601,2,8.601
"Song_2","2:2",2,"N","Son",NA,NA,8.803476,NA,8.795311,NA,NA,NA,NA,NA,NA,4.5,NA,3,NA,NA,NA,NA,NA,2,8.821125
"Song_2","2:3",3,"N","Son",NA,NA,9.031986,NA,8.995437,NA,NA,NA,NA,NA,NA,4,NA,3.5,NA,NA,NA,NA,NA,2,9.04125
"Song_2","2:4",4,"2","Son",9.261192,NA,9.271589,9.240644,NA,NA,NA,NA,NA,2,NA,4,3.5,NA,NA,NA,NA,NA,NA,2,9.261375
"Song_2","2:5",5,"N","Son",NA,9.467583,9.478042,NA,NA,NA,NA,NA,NA,NA,1.5,4.5,NA,NA,NA,NA,NA,NA,NA,2,9.4815
"Song_2","2:6",6,"N","Son",NA,NA,9.67211,9.669264,9.687925,NA,NA,NA,NA,NA,NA,4.5,3.5,2.5,NA,NA,NA,NA,NA,2,9.701625
"Song_2","2:7",7,"3","Son",9.925888,9.895688,9.888375,9.884393,NA,NA,NA,NA,NA,1.5,1.5,4.5,3.5,NA,NA,NA,NA,NA,NA,2,9.92175
"Song_2","2:8",8,"N","Son",NA,NA,10.150941,10.092997,10.14024,NA,NA,NA,NA,NA,NA,4,3.5,2.5,NA,NA,NA,NA,NA,2,10.141875
"Song_2","2:9",9,"N","Son",NA,NA,10.366553,10.3193,NA,NA,NA,NA,NA,NA,NA,4.5,3.5,NA,NA,NA,NA,NA,NA,2,10.362
"Song_2","2:10",10,"N","Son",NA,NA,10.573985,10.527588,10.573381,NA,NA,NA,NA,NA,NA,5,4,2.5,NA,NA,NA,NA,NA,2,10.582125
"Song_2","2:11",11,"4","Son",10.803546,NA,10.79683,10.749578,10.789577,NA,NA,NA,NA,1.5,NA,5,4,3,NA,NA,NA,NA,NA,2,10.80225
"Song_2","2:12",12,"N","Son",NA,NA,11.048988,10.983529,11.01234,NA,NA,NA,NA,NA,NA,4.5,4,2.5,NA,NA,NA,NA,NA,2,11.022375
"Song_2","2:13",13,"5","Son",11.23841,11.236395,11.245924,11.253509,NA,NA,NA,NA,NA,2,2,5,4,NA,NA,NA,NA,NA,NA,2,11.2425
"Song_2","2:14",14,"N","Son",NA,NA,11.484611,NA,11.461544,NA,NA,NA,NA,NA,NA,4.5,NA,3.5,NA,NA,NA,NA,NA,2,11.462625
"Song_2","2:15",15,"N","Son",NA,11.675659,11.669415,NA,11.675246,NA,NA,NA,NA,NA,2,5,NA,4.5,NA,NA,NA,NA,NA,2,11.68275
"Song_2","2:16",16,"N","Son",NA,NA,11.900611,11.840994,11.911308,NA,NA,NA,NA,NA,NA,4.5,4.5,4.5,NA,NA,NA,NA,NA,2,11.902875
"Song_2","3:1",1,"1","Son",12.123741,NA,12.115759,NA,12.144362,NA,NA,NA,NA,1.5,NA,5,NA,4.5,NA,NA,NA,NA,12.123,3,12.123
"Song_2","3:2",2,"N","Son",NA,NA,12.322816,12.2988,12.34959,NA,NA,NA,NA,NA,NA,5,4,5,NA,NA,NA,NA,NA,3,12.3448125
"Song_2","3:3",3,"N","Son",NA,NA,12.546185,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,3,12.566625
"Song_2","3:4",4,"2","Son",12.80102,NA,12.809755,12.756969,12.780901,NA,NA,NA,NA,2,NA,4.5,3,5,NA,NA,NA,NA,NA,3,12.7884375
"Song_2","3:5",5,"N","Son",NA,13.012866,13.036559,NA,NA,NA,NA,NA,NA,NA,1.5,5,NA,NA,NA,NA,NA,NA,NA,3,13.01025
"Song_2","3:6",6,"N","Son",NA,NA,13.242347,13.178399,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA,NA,NA,NA,3,13.2320625
"Song_2","3:7",7,"3","Son",13.456759,13.436662,13.444127,13.408397,NA,NA,NA,NA,NA,1.5,1.5,5,3,NA,NA,NA,NA,NA,NA,3,13.453875
"Song_2","3:8",8,"N","Son",NA,NA,13.671309,13.632939,13.680061,NA,NA,NA,NA,NA,NA,4.5,3,2.5,NA,NA,NA,NA,NA,3,13.6756875
"Song_2","3:9",9,"N","Son",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,13.8975
"Song_2","3:10",10,"N","Son",NA,NA,14.083877,NA,14.112013,NA,NA,NA,NA,NA,NA,4.5,NA,2.5,NA,NA,NA,NA,NA,3,14.1193125
"Song_2","3:11",11,"4","Son",14.331366,NA,14.339426,NA,14.336517,NA,NA,NA,NA,1.5,NA,4,NA,2.5,NA,NA,NA,NA,NA,3,14.341125
"Song_2","3:12",12,"N","Son",NA,NA,14.555826,14.535384,14.550524,NA,NA,NA,NA,NA,NA,4,2.5,2.5,NA,NA,NA,NA,NA,3,14.5629375
"Song_2","3:13",13,"5","Son",14.78588,14.779534,14.78191,14.761557,NA,NA,NA,NA,NA,2,1.5,4.5,2.5,NA,NA,NA,NA,NA,NA,3,14.78475
"Song_2","3:14",14,"N","Son",NA,NA,14.987922,14.983775,15.000582,NA,NA,NA,NA,NA,NA,4.5,3,2.5,NA,NA,NA,NA,NA,3,15.0065625
"Song_2","3:15",15,"N","Son",NA,15.213903,15.211848,NA,15.211354,NA,NA,NA,NA,NA,1.5,4.5,NA,3,NA,NA,NA,NA,NA,3,15.228375
"Song_2","3:16",16,"N","Son",NA,NA,15.450045,15.417713,NA,NA,NA,NA,NA,NA,NA,4,2.5,NA,NA,NA,NA,NA,NA,3,15.4501875
"Song_2","4:1",1,"1","Son",15.673018,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,15.672,4,15.672
