Cycle,Time
1,5.037333333
2,8.601
3,12.123
4,15.672
5,19.1745
6,22.686
7,26.172
8,29.6385
9,33.084
10,36.531
11,39.978
12,43.4175
13,46.899
14,50.328
15,53.778
16,57.216
17,60.669
18,64.161
19,67.566
20,71.064
21,74.487
22,77.979
23,81.453
24,84.921
25,88.422
26,91.983
27,95.511
28,99.084
29,102.582
30,106.071
31,109.611
32,113.145
33,116.664
34,120.1785
35,123.69
36,127.176
37,130.704
38,134.214
39,137.742
40,141.2925
41,144.8265
42,148.383
43,151.974
44,155.5395
45,159.123
46,162.678
47,166.278
48,169.8574167
49,173.415
50,176.98
51,180.568
52,184.176
53,187.755
54,191.2905
55,194.829
56,198.357
57,201.922
58,205.452
59,208.989
60,212.4795
61,215.988
62,219.456
63,222.952
64,226.4385
65,229.944
66,233.432
67,236.93
68,240.424
69,243.898
70,247.377
71,250.846
72,254.326
73,257.856
74,261.3225
75,264.813
76,268.308
77,271.828
78,275.316
79,278.847
80,282.363
81,285.8955
82,289.4548958
83,293.008
84,296.5881875
85,300.142
86,303.696
87,307.278
88,310.9035
89,314.514
90,318.09
91,321.687
92,325.216
93,328.78
94,332.354
95,335.88
96,339.46
97,343.032
98,346.572
99,350.128
100,353.799
