Take,Piece,N,Label SD,SD,J1,J2,D1,D2,J1 Dens,J2 Dens,D1 Dens,D2 Dens,Jembe 1,Jembe 2,Dundun 1,Dundun 2
Maraka_1,Maraka,3,1|1,1,2.362,2.361,2.337,,,,,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,1|2,2,,,,,5,,,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,1|3,3,2.668,2.658,,,4,,,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,1|4,4,2.82,2.813,,,4,,,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,1|5,5,,,3,,4,,,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,1|6,6,3.11,3.124,,,4,,,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,1|7,7,3.267,3.299,,,4.5,,,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,1|8,8,,,3.437,,4,,,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,1|9,9,3.582,3.594,,,4.5,,,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,1|10,10,3.724,3.749,3.722,,4.5,,,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,1|11,11,,,,,4,,,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,1|12,12,4.05,4.042,4.017,,4.5,,,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,2|1,1,4.207,4.218,4.189,,4.5,,,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,2|2,2,,,,,4,4,2.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,2|3,3,,4.501,4.5,,4,4.5,3,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,2|4,4,4.679,4.659,,,4,4.5,3,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,2|5,5,4.851,,4.826,,4,4,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,2|6,6,,4.95,,,4,4.5,3,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,2|7,7,5.13,5.122,,,4,4.5,3,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,2|8,8,5.299,,5.286,,4,4,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,2|9,9,,5.417,,,4,4.5,3,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,2|10,10,,5.579,5.572,,3.5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,2|11,11,,,,,3,4,3,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,2|12,12,5.872,5.862,5.864,,3.5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,3|1,1,6.029,6.032,6.026,,3.5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,3|2,2,,,,,3,4,3,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,3|3,3,6.363,6.319,6.333,,3.5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,3|4,4,6.5,6.482,,,4,4.5,3,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,3|5,5,6.672,,6.66,,4,4,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,3|6,6,,6.77,,,4,4.5,3,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,3|7,7,6.949,6.93,,,4,4.5,3,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,3|8,8,7.119,,7.116,,4,4,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,3|9,9,,7.231,,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,3|10,10,,7.391,7.377,,3.5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,3|11,11,,,,,3.5,4.5,3,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,3|12,12,7.673,7.661,7.67,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,4|1,1,7.832,7.832,7.829,,4.5,4.5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,4|2,2,,,,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,4|3,3,8.137,8.116,8.119,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,4|4,4,8.279,8.267,,,4.5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,4|5,5,8.464,,8.435,,4.5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,4|6,6,,8.54,,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,4|7,7,8.725,8.714,,,4,4.5,3,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,4|8,8,8.897,,8.89,,4.5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,4|9,9,,9.01,,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,4|10,10,,9.17,9.152,,3.5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,4|11,11,,,,,3.5,4.5,3,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,4|12,12,9.436,9.438,9.439,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,5|1,1,9.598,9.611,9.603,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,5|2,2,,,,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,5|3,3,9.897,9.883,9.891,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,5|4,4,10.044,10.042,,,4.5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,5|5,5,10.218,,10.209,,4.5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,5|6,6,,10.323,,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,5|7,7,10.48,10.489,,,4,5,3,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,5|8,8,10.659,,10.655,,4.5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,5|9,9,,10.769,,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,5|10,10,,10.923,10.913,,3.5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,5|11,11,,,,,3.5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,5|12,12,11.218,11.199,11.197,,3.5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
