Cycle,Time
1.1,0.188785431
1.2,0.742743764
1.3,1.284077097
1.4,1.814410431
2.1,2.361910431
2.2,2.878743764
2.3,3.405410431
2.4,3.934743764
3.1,4.449722931
3.2,4.976077097
3.3,5.497410431
3.4,6.017222931
4.1,6.543160431
4.2,7.059431264
4.3,7.572077097
4.4,8.104097931
5.1,8.621597931
5.2,9.136077097
5.3,9.639722931
5.4,10.14141043
6.1,10.66541043
6.2,11.1800771
6.3,11.68816043
6.4,12.19253543
7.1,12.68941043
7.2,13.21874376
7.3,13.72941043
7.4,14.2440771
8.1,14.75474376
8.2,15.2720771
8.3,15.78141043
8.4,16.2960771
9.1,16.80141043
9.2,17.32274376
9.3,17.84274376
9.4,18.36274376
10.1,18.89474376
10.2,19.40674376
10.3,19.91341043
10.4,20.4480771
11.1,20.9680771
11.2,21.47874376
11.3,21.99741043
11.4,22.5160771
12.1,23.04274376
12.2,23.56541043
12.3,24.0920771
12.4,24.62141043
13.1,25.1440771
13.2,25.65874376
13.3,26.1760771
13.4,26.70274376
14.1,27.23474376
14.2,27.7520771
14.3,28.26674376
14.4,28.79474376
15.1,29.32541043
15.2,29.84141043
15.3,30.35074376
15.4,30.86274376
16.1,31.3880771
16.2,31.9080771
16.3,32.4240771
16.4,32.9480771
17.1,33.4480771
17.2,33.94941043
17.3,34.4480771
17.4,34.9720771
18.1,35.48274376
18.2,35.9880771
18.3,36.50274376
18.4,37.01341043
19.1,37.51341043
19.2,38.03474376
19.3,38.5520771
19.4,39.06274376
20.1,39.56541043
20.2,40.08274376
20.3,40.6000771
20.4,41.1120771
21.1,41.6160771
21.2,42.14674376
21.3,42.65474376
21.4,43.1520771
22.1,43.6600771
22.2,44.16674376
22.3,44.66674376
22.4,45.1840771
23.1,45.67874376
23.2,46.1880771
23.3,46.68941043
23.4,47.2000771
24.1,47.6960771
24.2,48.1920771
24.3,48.69074376
24.4,49.19874376
25.1,49.69341043
25.2,50.19474376
25.3,50.6800771
25.4,51.1800771
26.1,51.67341043
26.2,52.15474376
26.3,52.64274376
26.4,53.1200771
27.1,53.60274376
27.2,54.0720771
27.3,54.53741043
27.4,55.00941043
28.1,55.48541043
28.2,55.9600771
28.3,56.4320771
28.4,56.90674376
29.1,57.35741043
29.2,57.83474376
29.3,58.30674376
29.4,58.7640771
30.1,59.22541043
30.2,59.69474376
30.3,60.14941043
30.4,60.6160771
31.1,61.0880771
31.2,61.5555771
31.3,62.02141043
31.4,62.47874376
32.1,62.93874376
32.2,63.41341043
32.3,63.85474376
32.4,64.3280771
33.1,64.79474376
33.2,65.26274376
33.3,65.72541043
33.4,66.18674376
34.1,66.64674376
34.2,67.1120771
34.3,67.57874376
34.4,68.0280771
35.1,68.48274376
35.2,68.9520771
35.3,69.41741043
35.4,69.87074376
36.1,70.33341043
36.2,70.80541043
36.3,71.25874376
36.4,71.72274376
37.1,72.18674376
37.2,72.66141043
37.3,73.1200771
37.4,73.59966043
38.1,74.04541043
38.2,74.50674376
38.3,74.98941043
38.4,75.4560771
39.1,75.9200771
39.2,76.38941043
39.3,76.86141043
39.4,77.31741043
40.1,77.78541043
40.2,78.24541043
40.3,78.69341043
40.4,79.16274376
41.1,79.62141043
41.2,80.08274376
41.3,80.53341043
41.4,81.00941043
42.1,81.4680771
42.2,81.93874376
42.3,82.40541043
42.4,82.8680771
43.1,83.33741043
43.2,83.7920771
43.3,84.25441043
43.4,84.72128543
44.1,85.17503543
44.2,85.6480771
44.3,86.1124521
44.4,86.5720771
45.1,87.04141043
45.2,87.50003543
45.3,87.97341043
45.4,88.4440771
46.1,88.89691043
46.2,89.36141043
46.3,89.83691043
46.4,90.29874376
47.1,90.7600771
47.2,91.22141043
47.3,91.6920771
47.4,92.14816043
48.1,92.60941043
48.2,93.07341043
48.3,93.53941043
48.4,93.99341043
49.1,94.4640771
49.2,94.93874376
49.3,95.40503543
49.4,95.87566043
50.1,96.35191043
50.2,96.82816043
50.3,97.29691043
50.4,97.76753543
51.1,98.2360771
51.2,98.70503543
51.3,99.17191043
51.4,99.64066043
52.1,100.1150354
52.2,100.5840771
52.3,101.0581604
52.4,101.5250354
53.1,101.9994104
53.2,102.4719104
53.3,102.9254104
