Take,N,Label SD,SD,C,P,R1,R2,R1 part,R2 part,C Dens,P Dens,R1 Dens,R2 Dens,C Peak,P Peak,R1 Peak,R2 Peak
311,4,01:01,1,,,,,Madera,Madera,,,,,,,,
311,4,01:02,2,,,,,Madera,Madera,,,,,,,,
311,4,01:03,3,,,,,Madera,Madera,,,,,,,,
311,4,01:04,4,,,,,Madera,Madera,,,,,,,,
311,4,01:05,5,,,,,Madera,Madera,,,,,,,,
311,4,01:06,6,,,,,Madera,Madera,,,,,,,,
311,4,01:07,7,,,,,Madera,Madera,,,,,,,,
311,4,01:08,8,,,,,Madera,Madera,,,,,,,,
311,4,01:09,9,,,,,Madera,Madera,,,,,,,,
311,4,01:10,10,,,,,Madera,Madera,,,,,,,,
311,4,01:11,11,,,,,Madera,Madera,,,,,,,,
311,4,01:12,12,,,,,Madera,Madera,,,,,,,,
311,4,01:13,13,,,,,Madera,Madera,,,,,,,,
311,4,01:14,14,,,,,Madera,Madera,,,,,,,,
311,4,01:15,15,,,,,Madera,Madera,,,,,,,,
311,4,01:16,16,,,,,Madera,Madera,,,,,,,,
311,4,02:01,1,,,,,Madera,Madera,,,,,,,,
311,4,02:02,2,,,,,Madera,Madera,,,,,,,,
311,4,02:03,3,,,,,Madera,Madera,,,,,,,,
311,4,02:04,4,,,2.732433,,Madera,Madera,,,0.5,,,,0.020943,
311,4,02:05,5,,,,,Madera,Madera,,,,,,,,
311,4,02:06,6,,,,,Madera,Madera,,,,,,,,
311,4,02:07,7,,,3.133261,,Madera,Madera,,,1,,,,0.025174,
311,4,02:08,8,,,,,Madera,Madera,,,,,,,,
311,4,02:09,9,,,,,Madera,Madera,,,,,,,,
311,4,02:10,10,,,,,Madera,Madera,,,,,,,,
311,4,02:11,11,,,3.661103,,Madera,Madera,,,1.5,,,,0.025339,
311,4,02:12,12,,,,,Madera,Madera,,,,,,,,
311,4,02:13,13,,,3.944791,,Madera,Madera,,,2,,,,0.01546,
311,4,02:14,14,,,,,Madera,Madera,,,,,,,,
311,4,02:15,15,,,,,Madera,Madera,,,,,,,,
311,4,02:16,16,,,,,Madera,Madera,,,,,,,,
311,4,03:01,1,,,4.467122,,Madera,Madera,,,2.5,,,,0.00552,
311,4,03:02,2,,,,,Madera,Madera,,,,,,,,
311,4,03:03,3,,,,,Madera,Madera,,,,,,,,
311,4,03:04,4,,,4.854818,,Madera,Madera,,,3,,,,0.023575,
311,4,03:05,5,,,,,Madera,Madera,,,,,,,,
311,4,03:06,6,,,,,Madera,Madera,,,,,,,,
311,4,03:07,7,,,5.217074,,Madera,Madera,,,3,,,,0.019805,
311,4,03:08,8,,,,,Madera,Madera,,,,,,,,
311,4,03:09,9,,,,,Madera,Madera,,,,,,,,
311,4,03:10,10,,,,,Madera,Madera,,,,,,,,
311,4,03:11,11,,,5.749717,,Madera,Madera,,,3,,,,0.024588,
311,4,03:12,12,,,,,Madera,Madera,,,,,,,,
311,4,03:13,13,,,6.017307,,Madera,Madera,,,3,,,,0.019675,
311,4,03:14,14,,,,,Madera,Madera,,,,,,,,
